Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.oil,alpha.oilMean,arc_length,nut,p,pMean,p_rgh,vtkValidPointMask
293,-0.0055,0.005758,0,0.0079627,-3.21905,3.1993,0.785143,4.60589,-5.40188,12.4557,-0.629068,13.5912,0.00174114,0.0227436,0.001758,9.04821e-06,939.072,1460.02,939.158,1
294,-0.0055,0.005764,0,0.00796704,-3.27017,3.31495,0.793941,4.72369,-5.44135,12.2796,-0.719258,13.4504,0.0017462,0.0227762,0.001764,8.59015e-06,941.25,1457.08,941.337,1
295,-0.0055,0.00577,0,0.00797138,-3.32219,3.43057,0.802471,4.84249,-5.48475,12.1124,-0.81219,13.3211,0.00174967,0.0228047,0.00177,8.14041e-06,943.376,1454.17,943.463,1
296,-0.0055,0.005776,0,0.00797572,-3.37509,3.54616,0.810738,4.96224,-5.53209,11.9539,-0.907866,13.2032,0.00175155,0.0228293,0.001776,7.69895e-06,945.451,1451.28,945.538,1
297,-0.0055,0.005782,0,0.00798007,-3.42887,3.66173,0.818745,5.08288,-5.58334,11.804,-1.00629,13.0966,0.00175186,0.02285,0.001782,7.26574e-06,947.474,1448.42,947.561,1
298,-0.0055,0.005788,0,0.00798442,-3.48352,3.77725,0.826497,5.20439,-5.6385,11.6627,-1.10745,13.0014,0.00175059,0.0228667,0.001788,6.8408e-06,949.446,1445.59,949.533,1
299,-0.0055,0.005794,0,0.00798877,-3.5342,3.89016,0.834183,5.32163,-5.65168,11.5781,-1.15763,12.9358,0.0017505,0.0228674,0.001794,6.66829e-06,950.076,1442.22,950.164,1
300,-0.0055,0.0058,0,0.00799312,-3.58277,4.00194,0.841839,5.43695,-5.64276,11.5194,-1.18123,12.8815,0.00175152,0.022862,0.0018,6.62236e-06,950.047,1438.6,950.134,1
301,-0.0055,0.005806,0,0.00799748,-3.63154,4.11395,0.849398,5.55285,-5.63407,11.461,-1.20462,12.8277,0.00175256,0.0228576,0.001806,6.58013e-06,950.011,1434.99,950.098,1
302,-0.0055,0.005812,0,0.00800183,-3.68052,4.22619,0.85686,5.66931,-5.62561,11.403,-1.22781,12.7743,0.00175362,0.0228542,0.001812,6.54159e-06,949.968,1431.41,950.056,1
303,-0.0055,0.005818,0,0.00800619,-3.7297,4.33865,0.864225,5.78631,-5.61738,11.3452,-1.25081,12.7213,0.00175469,0.0228517,0.001818,6.50673e-06,949.918,1427.84,950.006,1
304,-0.0055,0.005824,0,0.00801055,-3.77907,4.45134,0.871494,5.90384,-5.60937,11.2877,-1.2736,12.6688,0.00175577,0.0228502,0.001824,6.47554e-06,949.862,1424.28,949.95,1
305,-0.0055,0.00583,0,0.00801492,-3.82865,4.56426,0.878666,6.02189,-5.60158,11.2305,-1.29619,12.6168,0.00175687,0.0228496,0.00183,6.44801e-06,949.799,1420.75,949.887,1
306,-0.0055,0.005836,0,0.00801928,-3.87843,4.6774,0.885743,6.14043,-5.59403,11.1737,-1.31858,12.5651,0.00175798,0.02285,0.001836,6.42412e-06,949.729,1417.23,949.817,1
307,-0.0055,0.005842,0,0.00802365,-3.92841,4.79077,0.892724,6.25946,-5.58669,11.1171,-1.34077,12.5139,0.0017591,0.0228513,0.001842,6.40389e-06,949.653,1413.73,949.741,1
