Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.oil,alpha.oilMean,arc_length,nut,p,pMean,p_rgh,vtkValidPointMask
0,0,0.005,0.00435,0.00662741,-0.0896177,10.916,6.33756,12.6227,-0.348339,12.2418,7.13852,14.1753,0.613852,0.841417,0,5.63478e-10,2051.9,14377.4,2077.72,1
1,0,0.005,0.00435215,0.00662882,-0.113086,14.1612,8.22616,16.3775,-0.446834,15.9,9.28526,18.418,0.657784,0.853839,2.14996e-06,7.40112e-10,2001.79,14330.5,2029.5,1
2,0,0.005,0.0043543,0.00663023,-0.14281,17.3017,10.0644,20.0165,-0.539109,19.0067,11.1177,22.0261,0.701625,0.873727,4.29992e-06,8.16434e-10,1910.98,14319.2,1940.52,1
3,0,0.005,0.00435645,0.00663164,-0.172535,20.4422,11.9025,23.6555,-0.631384,22.1135,12.9502,25.6342,0.745466,0.893615,6.44987e-06,8.92755e-10,1820.17,14307.9,1851.55,1
4,0,0.005,0.0043586,0.00663305,-0.193817,23.4206,13.6444,27.1059,-0.71066,25.0616,14.6908,29.0587,0.796678,0.914062,8.59983e-06,9.85918e-10,1769.39,14318.3,1802.97,1
5,0,0.005,0.00436075,0.00663447,-0.218817,26.3412,15.3576,30.4921,-0.788649,27.8639,16.3483,32.3154,0.828525,0.927279,1.07498e-05,9.53047e-10,1718.35,14327.5,1753.29,1
6,0,0.005,0.0043629,0.00663588,-0.246687,29.2302,17.056,33.8433,-0.866326,30.575,17.9537,35.4671,0.846983,0.935589,1.29002e-05,8.34285e-10,1665.46,14334.7,1701.18,1
7,0,0.005,0.00436505,0.00663729,-0.274551,32.1185,18.7539,37.1939,-0.943986,33.2854,19.5588,38.618,0.865437,0.943897,1.50502e-05,7.15548e-10,1612.59,14342,1649.07,1
8,0,0.005,0.0043672,0.00663871,-0.299173,34.9347,20.4092,40.4606,-1.01661,35.8947,21.1041,41.6515,0.886345,0.952921,1.72001e-05,6.10651e-10,1562.67,14349.6,1600.04,1
9,0,0.005,0.00436935,0.00664012,-0.317104,37.6021,21.9762,43.5542,-1.07884,38.2954,22.5261,44.4424,0.912317,0.963425,1.93501e-05,5.34313e-10,1518.85,14357.9,1557.34,1
10,0,0.005,0.0043715,0.00664154,-0.333647,40.2218,23.5188,46.5944,-1.13785,40.6935,23.9497,47.2318,0.931962,0.971394,2.15e-05,4.66666e-10,1487.56,14376.3,1526.89,1
11,0,0.005,0.00437365,0.00664295,-0.347046,42.7333,25.006,49.5132,-1.18953,43.0858,25.377,50.0179,0.937276,0.973623,2.365e-05,4.18707e-10,1484.64,14417.6,1524.2,1
12,0,0.005,0.0043758,0.00664437,-0.360444,45.2448,26.4933,52.4321,-1.24122,45.4782,26.8043,52.8041,0.942589,0.975851,2.58e-05,3.70748e-10,1481.73,14458.9,1521.51,1
13,0,0.005,0.00437795,0.00664578,-0.373843,47.7564,27.9806,55.3509,-1.29291,47.8705,28.2315,55.5903,0.947902,0.97808,2.79499e-05,3.22789e-10,1478.82,14500.3,1518.82,1
14,0,0.005,0.0043801,0.0066472,-0.387242,50.2679,29.4678,58.2698,-1.34459,50.2628,29.6588,58.3764,0.953216,0.980308,3.00999e-05,2.7483e-10,1475.9,14541.6,1516.13,1
15,0,0.005,0.00438225,0.00664862,-0.397387,52.6895,30.9002,61.0833,-1.39157,52.5383,31.0154,61.026,0.959776,0.983016,3.22498e-05,2.25295e-10,1467.41,14574.3,1507.92,1
16,0,0.005,0.0043844,0.00665003,-0.402779,54.9798,32.2524,63.7429,-1.43166,54.6431,32.2686,63.4759,0.968158,0.986424,3.43998e-05,1.73457e-10,1450.76,14594.4,1491.63,1
17,0,0.005,0.00438655,0.00665145,-0.408173,57.2705,33.605,66.4031,-1.47175,56.7484,33.5221,65.9263,0.976542,0.989833,3.65502e-05,1.21608e-10,1434.11,14614.6,1475.34,1
18,0,0.005,0.0043887,0.00665287,-0.401476,59.2604,34.7803,68.7141,-1.49359,58.6229,34.6397,68.1086,0.982478,0.992247,3.87002e-05,1.33729e-10,1429.4,14641.5,1470.88,1
19,0,0.005,0.00439085,0.00665429,-0.374173,60.7382,35.654,70.4307,-1.48433,60.105,35.5259,69.8348,0.984244,0.992966,4.08501e-05,2.54877e-10,1445.04,14679.9,1486.6,1
20,0,0.005,0.004393,0.00665571,-0.34687,62.2161,36.5277,72.1473,-1.47507,61.587,36.4122,71.561,0.986011,0.993685,4.30001e-05,3.76025e-10,1460.68,14718.3,1502.31,1
21,0,0.005,0.00439515,0.00665713,-0.319567,63.6939,37.4014,73.8639,-1.4658,63.069,37.2985,73.2873,0.987777,0.994404,4.51501e-05,4.97173e-10,1476.32,14756.7,1518.03,1
22,0,0.005,0.0043973,0.00665855,-0.292264,65.1718,38.2751,75.5806,-1.45654,64.551,38.1847,75.0135,0.989544,0.995123,4.73e-05,6.18321e-10,1491.95,14795.1,1533.74,1
