Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.oil,alpha.oilMean,arc_length,nut,p,pMean,p_rgh,vtkValidPointMask
0,0,0.004,0.0055,0.00680074,0,0,0,0,0,0,0,0,1,0.999988,0,3.26472e-10,6324.09,39917.5,6357.87,1
1,0,0.004006,0.0055,0.00680427,-0.155425,0.00752908,0.0512719,0.163837,-0.214058,0.00563481,-0.0319045,0.216496,1,0.999978,6.00005e-06,1.96809e-09,6335.54,39916.7,6369.37,1
2,0,0.004012,0.0055,0.0068078,-0.310851,0.0150582,0.102544,0.327674,-0.428117,0.0112696,-0.0638091,0.432993,1,0.999968,1.20001e-05,3.60971e-09,6346.98,39915.9,6380.88,1
3,0,0.004018,0.0055,0.00681134,-0.450573,0.0238958,0.0982704,0.461784,-0.639216,0.0181975,-0.0874183,0.645423,1,0.999933,1.80001e-05,5.65152e-09,6356.13,39918.6,6390.08,1
4,0,0.004024,0.0055,0.00681488,-0.581759,0.0334449,0.0637997,0.586201,-0.848707,0.0258285,-0.106518,0.855755,1,0.999882,2.40002e-05,7.91089e-09,6364.04,39923.1,6398.04,1
5,0,0.00403,0.0055,0.00681842,-0.714599,0.0507749,0.0381808,0.717417,-1.03906,0.0412016,-0.121487,1.04695,1,0.999301,3.00002e-05,1.56687e-08,6375.88,39913.2,6409.94,1
6,0,0.004036,0.0055,0.00682197,-0.850349,0.0818426,0.0281934,0.854744,-1.19562,0.0702439,-0.129164,1.20462,1,0.997783,3.59998e-05,3.31344e-08,6394.66,39877.6,6428.77,1
7,0,0.004042,0.0055,0.00682552,-0.98611,0.112913,0.0182052,0.99272,-1.35218,0.0992885,-0.136841,1.36271,1,0.996264,4.19999e-05,5.06015e-08,6413.44,39842,6447.6,1
8,0,0.004048,0.0055,0.00682908,-1.12187,0.143983,0.00821703,1.1311,-1.50875,0.128333,-0.144518,1.52108,1,0.994745,4.79999e-05,6.80686e-08,6432.22,39806.4,6466.44,1
9,0,0.004054,0.0055,0.00683264,-1.25758,0.174776,0.00154416,1.26967,-1.66486,0.15696,-0.152575,1.67919,1,0.993229,5.39999e-05,8.57438e-08,6451.41,39768.8,6485.68,1
10,0,0.00406,0.0055,0.0068362,-1.39274,0.20274,0.0288088,1.40771,-1.81638,0.181308,-0.164515,1.8328,1,0.991738,6e-05,1.0555e-07,6474.76,39710.3,6509.09,1
11,0,0.004066,0.0055,0.00683976,-1.52789,0.230704,0.0560735,1.54623,-1.96789,0.205656,-0.176456,1.98646,1,0.990247,6.6e-05,1.25356e-07,6498.12,39651.7,6532.49,1
12,0,0.004072,0.0055,0.00684333,-1.64677,0.263241,0.0769155,1.66945,-2.10726,0.244688,-0.18376,2.12937,1,0.986522,7.20001e-05,1.52479e-07,6516.61,39533.8,6551.04,1
13,0,0.004078,0.0055,0.0068469,-1.73738,0.30372,0.0866088,1.76585,-2.22556,0.309207,-0.183017,2.25438,1,0.97892,7.80001e-05,1.92302e-07,6526.66,39312.6,6561.14,1
14,0,0.004084,0.0055,0.00685048,-1.82799,0.344198,0.0963021,1.8626,-2.34386,0.373726,-0.182273,2.38046,1,0.971317,8.40002e-05,2.32125e-07,6536.71,39091.4,6571.25,1
15,0,0.00409,0.0055,0.00685406,-1.9186,0.384676,0.105995,1.95965,-2.46216,0.438245,-0.18153,2.50744,1,0.963714,9.00002e-05,2.71947e-07,6546.77,38870.2,6581.35,1
16,0,0.004096,0.0055,0.00685764,-2.0092,0.425151,0.115688,2.05695,-2.58045,0.502759,-0.180786,2.63518,1,0.956112,9.59998e-05,3.11767e-07,6556.82,38649,6591.46,1
17,0,0.004102,0.0055,0.00686122,-2.09981,0.46563,0.125381,2.15447,-2.69875,0.567278,-0.180043,2.7636,1,0.94851,0.000102,3.5159e-07,6566.87,38427.8,6601.56,1
18,0,0.004108,0.0055,0.00686481,-2.19042,0.506108,0.135075,2.25219,-2.81705,0.631798,-0.179299,2.89259,1,0.940907,0.000108,3.91413e-07,6576.92,38206.6,6611.67,1
19,0,0.004114,0.0055,0.00686841,-2.28103,0.546586,0.144768,2.35007,-2.93535,0.696317,-0.178556,3.02209,1,0.933305,0.000114,4.31236e-07,6586.98,37985.4,6621.77,1
20,0,0.00412,0.0055,0.006872,-2.37164,0.587064,0.154461,2.4481,-3.05365,0.760836,-0.177812,3.15202,1,0.925702,0.00012,4.71059e-07,6597.03,37764.2,6631.88,1
21,0,0.004126,0.0055,0.0068756,-2.45617,0.624473,0.168539,2.53991,-3.16324,0.821488,-0.17767,3.27299,1,0.918186,0.000126,5.17135e-07,6615.71,37521.9,6650.61,1
22,0,0.004132,0.0055,0.0068792,-2.53926,0.661153,0.183656,2.63034,-3.27076,0.881223,-0.177671,3.39205,1,0.910692,0.000132,5.64696e-07,6636.43,37274.6,6671.38,1
23,0,0.004138,0.0055,0.00688281,-2.57379,0.692888,0.198455,2.67281,-3.33147,0.952098,-0.174874,3.46926,0.999476,0.901915,0.000138,6.32179e-07,6594.52,36962.6,6629.51,1
24,0,0.004144,0.0055,0.00688642,-2.59831,0.723603,0.213187,2.7056,-3.38253,1.02527,-0.171499,3.53866,0.998844,0.892874,0.000144,7.03773e-07,6539.69,36637.2,6574.71,1
25,0,0.00415,0.0055,0.00689003,-2.62282,0.754318,0.22792,2.73864,-3.43358,1.09844,-0.168125,3.60893,0.998212,0.883833,0.00015,7.75367e-07,6484.86,36311.8,6519.9,1
26,0,0.004156,0.0055,0.00689364,-2.64734,0.785031,0.242652,2.77192,-3.48464,1.17161,-0.164751,3.68001,0.99758,0.874792,0.000156,8.46956e-07,6430.03,35986.5,6465.11,1
27,0,0.004162,0.0055,0.00689726,-2.67185,0.815746,0.257384,2.80544,-3.53569,1.24478,-0.161377,3.75188,0.996948,0.865751,0.000162,9.1855e-07,6375.2,35661.1,6410.3,1
